ID,Address,Area,PostCode
144752,"Shanto Electronics"," House 148"," Malibagh College Road",Malibagh,1217
144753,"Shaon Telecom"," House 148"," Malibagh College Road",Malibagh,1217
144754,"Shaon Telecom"," House 148"," Malibagh College Road",Malibagh,1217
144755,"Shaon Telecom"," House 148"," Malibagh College Road",Malibagh,1217
144756,"Shaon Telecom"," House 148 "," Malibagh College Road",Malibagh,1217
144757,"Islam Sanitary"," House 148"," Malibagh College Road",Malibagh,1217
144758,"Badshah Book Binding"," House 148"," Malibagh College Road",Malibagh,1217
144762,"Electronics House"," House 148"," Malibagh College Road",Malibagh,1217
144763,"Bismillah Hair cutting"," House 148/2"," Malibagh College Road","Malibagh ",1217
144769,"Ruma Store"," House 200","  Malibagh College Road",Malibagh,1217
144771,"Madina Sanitary"," House 200"," Malibagh College Road",Malibagh,1217
144772,Deens," House 199"," Malibagh College Road",Malibagh,0
144773,Shorilota," House 153"," Malibagh College Road",Malibagh,1217
144776,N/A," House 153/A"," Malibagh College Road",Malibagh,1217
144778,"Sheltech Dream"," House 153/1"," Malibagh College Road",Malibagh,1217
144779,"Sah Traders"," House N/A"," Malibagh college Road",Malibagh,1217
144780,"Sah Traders"," House N/A"," Malibagh college Road",Malibagh,1217
144781,"Sah Traders"," House N/A"," Malibagh college Road",Malibagh,1217
144782,"Kamal Store"," House N/A"," Malibagh Pabna Colony Road","Malibagh ",1217
144783,"Ma Electronics "," House 196"," Malibagh Pabna Colony Road",Malibagh,1217
144784,"Avi Restaurant"," House 196/2 "," Malibgah Pabna Colony Road",Malibagh,1217
144785,"Arob Refrigerator"," House 196/2"," Malibagh Pabna Colony Road","Malibagh ",1217
144786,N/A," House 196"," Malibagh Pabna Colony Road",Malibagh,1217
144788,"Amicus Golden Galaxy"," House 222/B"," Malibagh Pabna Colony Road",Malibagh,1217
144987,"AKJ Garden"," House 203/1"," Malibagh College Road",Malibagh,1217
144991,"AKJ Garden"," House 204/1"," Malibagh College Road",Malibagh,1217
144997,"Mahi Sanitary Store"," House 148/2"," Malibagh Bazar Road",Malibagh,1217
145002,"The Unique KinderGarden"," House N/A"," Malibagh Bazar Road",Malibagh,1217
145003,"Jamal Store"," House 201"," Malibagh Bazar Road",Malibagh,1217
145007,"Happy Homes"," House 150"," Malibagh Bazar Road",Malibagh,1217
145014,"House 200"," Malibagh Bazar Road",Malibagh,1217
145025,"Hridoy Decorators"," House 200"," Malibagh Bazar Road",Malibagh,1217
145033,"Zahid Refrigerator"," House 200"," Malibagh Bazar Road",Malibagh,1217
145042,Rajgir-Srabostri," House 152"," Malibagh Bazar Road",Malibagh,1217
145052,"Mehrun Villa"," House 153/6"," Joarder Ln",Malibagh,1217
145060,"Shamim Rana"," House 153/7"," Joarder Ln",Malibagh,1217
145066,N/A," House 153/8"," Joarder Ln",Malibagh,1217
147019,"Uttara Nir"," House 253/1"," Joarder Ln",Malibagh,1217
147025,Srijon," House 153/5"," Joarder Ln",Malibagh,1217
147058,"Amena Manjil"," House 153/4"," Joarder Ln",Malibagh,1217
147082,"Akbor Manjil"," House 153/3"," Joarder Ln",Malibagh,1217
147108,"Preety Garden"," House 146"," Malibagh College Road",Malibagh,1217
147373,"Beauty Clinic"," House N/A"," Road Malibagh 1st Ln",Malibagh,1217
147374,N/A," House 1/6"," Road Malibagh 1st Ln",Malibagh,1217
147376,"House 73/4"," Road Malibagh 1st Ln",Malibagh,1217
147378,N/A," House 139/1"," Road Malibagh 1st Ln",Malibagh,1217
147379,"Rajia House"," House 75"," Road Malibagh 1st Ln",Malibagh,1217
147380,"Jahan Mansion"," House 139/2"," Road Malibagh 1st Ln",Malibagh,1217
147381,N/A," House 75/B"," Road Malibagh 1st Ln",Malibagh,1217
147392,"Ma Generae Store"," House 75/A"," Road Malibagh 1st Ln",Malibagh,1217
147395,"R H Bhaban"," House 75/1"," Road Malibagh 1st Ln",Malibagh,1217
147397,"Heart House"," House 138"," Road Malibagh 1st Ln",Malibagh,1217
147413,N/A," House 75/2"," Road Malibagh 1st Ln",Malibagh,1217
147418,"N.B Enterprise"," House 77/A"," Road Malibagh 1st Ln",Malibagh,1217
147421,"Bahadur Villa"," House 77/B"," Road Malibagh 1st Ln",Malibagh,1217
147425,N/A," House 137"," Road Malibagh 1st Ln",Malibagh,1217
147430,"Abdul khalek"," House 79/A"," Road Malibagh 1st Ln",Malibagh,1217
147432,N/A," House 81/A"," Road Malibagh 1st Ln",Malibagh,1217
147434,"Digital Print"," House N/A"," Road Malibagh 1st Ln",Malibagh,1217
